timestamp,message,seq_num,resource,event
0.000000000,gen0,0,res0,pipe.in
0.000000000,gen1,0,res0,pipe.in
0.000000000,gen1,0,res0,pipe.out
1.519730343,gen1,1,res0,pipe.in
16.674901483,gen1,2,res0,pipe.in
28.946165767,gen1,0,res0,resource.serve
28.946165767,gen1,1,res0,pipe.out
61.203617236,gen0,1,res0,pipe.in
96.690461851,gen1,3,res0,pipe.in
102.147606128,gen1,4,res0,pipe.in
130.571736559,gen1,1,res0,resource.serve
130.571736559,gen1,2,res0,pipe.out
133.294252507,gen1,2,res0,resource.serve
133.294252507,gen1,3,res0,pipe.out
135.030375691,gen1,5,res0,pipe.in
155.498755144,gen1,3,res0,resource.serve
155.498755144,gen1,4,res0,pipe.out
157.919251475,gen1,4,res0,resource.serve
157.919251475,gen1,5,res0,pipe.out
177.265307363,gen1,6,res0,pipe.in
177.871501700,gen1,5,res0,resource.serve
177.871501700,gen1,6,res0,pipe.out
194.840903210,gen0,2,res0,pipe.in
209.782488348,gen0,3,res0,pipe.in
240.234827437,gen1,7,res0,pipe.in
248.731134581,gen1,6,res0,resource.serve
248.731134581,gen1,7,res0,pipe.out
249.317931751,gen1,7,res0,resource.serve
249.317931751,gen0,0,res0,pipe.out
263.171010726,gen0,4,res0,pipe.in
