timestamp,message,seq_num,resource,event
0.000000000,gen0,0,res0,pipe.in
0.000000000,gen1,0,res0,pipe.in
0.000000000,gen0,0,res0,pipe.out
1.519730343,gen1,1,res0,pipe.in
16.674901483,gen1,2,res0,pipe.in
28.946165767,gen0,0,res0,resource.serve
28.946165767,gen1,0,res0,pipe.out
61.203617236,gen0,1,res0,pipe.in
61.203617236,gen1,0,res0,pipe.in
61.203617236,gen1,0,res0,resource.preempted
61.203617236,gen0,1,res0,pipe.out
69.389333651,gen0,1,res0,resource.serve
69.389333651,gen1,0,res0,pipe.out
96.690461851,gen1,3,res0,pipe.in
129.573231415,gen1,4,res0,pipe.in
131.388242047,gen1,5,res0,pipe.in
138.757452973,gen1,0,res0,resource.serve
138.757452973,gen1,1,res0,pipe.out
146.191243805,gen1,6,res0,pipe.in
147.804908026,gen1,7,res0,pipe.in
161.106408176,gen1,8,res0,pipe.in
194.840903210,gen0,2,res0,pipe.in
194.840903210,gen1,1,res0,pipe.in
194.840903210,gen1,1,res0,resource.preempted
194.840903210,gen0,2,res0,pipe.out
217.253280917,gen0,2,res0,resource.serve
217.253280917,gen1,1,res0,pipe.out
224.075928249,gen1,9,res0,pipe.in
224.522228188,gen1,1,res0,resource.serve
224.522228188,gen1,2,res0,pipe.out
242.080658464,gen0,3,res0,pipe.in
242.080658464,gen1,2,res0,pipe.in
242.080658464,gen1,2,res0,resource.preempted
242.080658464,gen0,3,res0,pipe.out
242.471856577,gen0,4,res0,pipe.in
277.464450627,gen1,10,res0,pipe.in
