timestamp,message,seq_num,resource,event,species
0.133359267,fish,0,selector,pipe.in,calamari
0.133359267,fish,0,selector,pipe.out,calamari
0.133359267,fish,0,selector,resource.serve,calamari
0.133359267,fish,0,grill,pipe.in,calamari
0.133359267,fish,0,grill,pipe.out,calamari
0.268323787,fish,1,selector,pipe.in,calamari
0.268323787,fish,1,selector,pipe.out,calamari
0.268323787,fish,1,selector,resource.serve,calamari
0.268323787,fish,1,grill,pipe.in,calamari
0.323128403,fish,2,selector,pipe.in,cod
0.323128403,fish,2,selector,pipe.out,cod
0.323128403,fish,2,selector,resource.serve,cod
0.323128403,fish,2,dry,pipe.in,cod
0.323128403,fish,2,dry,pipe.out,cod
0.332966368,fish,3,selector,pipe.in,cod
0.332966368,fish,3,selector,pipe.out,cod
0.332966368,fish,3,selector,resource.serve,cod
0.332966368,fish,3,dry,pipe.in,cod
0.403357921,fish,4,selector,pipe.in,cod
0.403357921,fish,4,selector,pipe.out,cod
0.403357921,fish,4,selector,resource.serve,cod
0.403357921,fish,4,dry,pipe.in,cod
0.485739346,fish,5,selector,pipe.in,calamari
0.485739346,fish,5,selector,pipe.out,calamari
0.485739346,fish,5,selector,resource.serve,calamari
0.485739346,fish,5,grill,pipe.in,calamari
0.590688546,fish,6,selector,pipe.in,calamari
0.590688546,fish,6,selector,pipe.out,calamari
0.590688546,fish,6,selector,resource.serve,calamari
0.590688546,fish,6,grill,pipe.in,calamari
0.645078509,fish,7,selector,pipe.in,tuna
0.645078509,fish,7,selector,pipe.out,tuna
0.645078509,fish,7,selector,resource.serve,tuna
0.645078509,fish,7,can,pipe.in,tuna
0.645078509,fish,7,can,pipe.out,tuna
0.734059379,fish,8,selector,pipe.in,cod
0.734059379,fish,8,selector,pipe.out,cod
0.734059379,fish,8,selector,resource.serve,cod
0.734059379,fish,8,dry,pipe.in,cod
0.876275315,fish,9,selector,pipe.in,cod
0.876275315,fish,9,selector,pipe.out,cod
0.876275315,fish,9,selector,resource.serve,cod
0.876275315,fish,9,dry,pipe.in,cod
0.996054309,fish,10,selector,pipe.in,tuna
0.996054309,fish,10,selector,pipe.out,tuna
0.996054309,fish,10,selector,resource.serve,tuna
0.996054309,fish,10,can,pipe.in,tuna
1.028609505,fish,11,selector,pipe.in,cod
1.028609505,fish,11,selector,pipe.out,cod
1.028609505,fish,11,selector,resource.serve,cod
1.028609505,fish,11,dry,pipe.in,cod
1.343761770,fish,12,selector,pipe.in,tuna
1.343761770,fish,12,selector,pipe.out,tuna
1.343761770,fish,12,selector,resource.serve,tuna
1.343761770,fish,12,can,pipe.in,tuna
1.354543710,fish,13,selector,pipe.in,tuna
1.354543710,fish,13,selector,pipe.out,tuna
1.354543710,fish,13,selector,resource.serve,tuna
1.354543710,fish,13,can,pipe.in,tuna
1.364715578,fish,14,selector,pipe.in,tuna
1.364715578,fish,14,selector,pipe.out,tuna
1.364715578,fish,14,selector,resource.serve,tuna
1.364715578,fish,14,can,pipe.in,tuna
1.457280525,fish,15,selector,pipe.in,cod
1.457280525,fish,15,selector,pipe.out,cod
1.457280525,fish,15,selector,resource.serve,cod
1.457280525,fish,15,dry,pipe.in,cod
1.588114568,fish,16,selector,pipe.in,calamari
1.588114568,fish,16,selector,pipe.out,calamari
1.588114568,fish,16,selector,resource.serve,calamari
1.588114568,fish,16,grill,pipe.in,calamari
1.601447842,fish,17,selector,pipe.in,tuna
1.601447842,fish,17,selector,pipe.out,tuna
1.601447842,fish,17,selector,resource.serve,tuna
1.601447842,fish,17,can,pipe.in,tuna
1.609655675,fish,18,selector,pipe.in,tuna
1.609655675,fish,18,selector,pipe.out,tuna
1.609655675,fish,18,selector,resource.serve,tuna
1.609655675,fish,18,can,pipe.in,tuna
1.786501773,fish,19,selector,pipe.in,calamari
1.786501773,fish,19,selector,pipe.out,calamari
1.786501773,fish,19,selector,resource.serve,calamari
1.786501773,fish,19,grill,pipe.in,calamari
