timestamp,message,seq_num,resource,event,items
27.285721382,normal,0,worker,pipe.in,23
27.285721382,normal,0,worker,pipe.out,23
36.975335053,normal,1,worker,pipe.in,17
49.913040803,normal,0,worker,resource.serve,23
49.913040803,normal,1,worker,pipe.out,17
54.485089429,normal,1,worker,resource.serve,17
248.149993412,normal,2,worker,pipe.in,16
248.149993412,normal,2,worker,pipe.out,16
441.493859789,normal,2,worker,resource.serve,16
625.805024250,normal,3,worker,pipe.in,23
625.805024250,normal,3,worker,pipe.out,23
700.512949940,normal,4,worker,pipe.in,10
830.461026699,normal,3,worker,resource.serve,23
830.461026699,normal,4,worker,pipe.out,10
847.855816062,normal,4,worker,resource.serve,10
1127.160757415,normal,5,worker,pipe.in,23
1127.160757415,normal,5,worker,pipe.out,23
1166.027599075,normal,5,worker,resource.serve,23
1251.929283365,normal,6,worker,pipe.in,20
1251.929283365,normal,6,worker,pipe.out,20
1284.275103075,normal,7,worker,pipe.in,21
1347.512993521,normal,6,worker,resource.serve,20
1347.512993521,normal,7,worker,pipe.out,21
1541.899381582,normal,7,worker,resource.serve,21
1848.441225565,normal,8,worker,pipe.in,11
1848.441225565,normal,8,worker,pipe.out,11
1932.961092209,normal,8,worker,resource.serve,11
2240.943354699,normal,9,worker,pipe.in,22
2240.943354699,normal,9,worker,pipe.out,22
2265.566852517,normal,10,worker,pipe.in,30
2317.278253108,normal,9,worker,resource.serve,22
2317.278253108,normal,10,worker,pipe.out,30
2554.675714055,normal,11,worker,pipe.in,28
2618.740849180,normal,12,worker,pipe.in,12
2632.813111258,normal,13,worker,pipe.in,17
2910.792233711,normal,10,worker,resource.serve,30
2910.792233711,normal,11,worker,pipe.out,28
3077.745021529,normal,14,worker,pipe.in,17
3681.804460196,normal,15,worker,pipe.in,22
3779.512534186,normal,16,worker,pipe.in,30
4090.875545150,normal,11,worker,resource.serve,28
4090.875545150,normal,12,worker,pipe.out,12
4112.177708608,normal,12,worker,resource.serve,12
4112.177708608,normal,13,worker,pipe.out,17
4186.794914503,normal,13,worker,resource.serve,17
4186.794914503,normal,14,worker,pipe.out,17
4318.442414000,normal,17,worker,pipe.in,30
4340.666385782,normal,18,worker,pipe.in,30
4375.357825977,normal,14,worker,resource.serve,17
4375.357825977,normal,15,worker,pipe.out,22
4396.977101389,normal,19,worker,pipe.in,15
4583.091251682,normal,20,worker,pipe.in,18
4662.700806454,normal,15,worker,resource.serve,22
4662.700806454,normal,16,worker,pipe.out,30
4969.195980592,normal,16,worker,resource.serve,30
4969.195980592,normal,17,worker,pipe.out,30
5213.417601642,normal,17,worker,resource.serve,30
5213.417601642,normal,18,worker,pipe.out,30
5559.605238443,normal,18,worker,resource.serve,30
5559.605238443,normal,19,worker,pipe.out,15
