timestamp,message,seq_num,resource,event,items
53.388522378,mom,0,cashier,pipe.in,10
53.388522378,mom,0,cashier,pipe.out,10
63.705582990,mom,0,cashier,resource.serve,10
138.718083873,mom,1,cashier,pipe.in,39
138.718083873,mom,1,cashier,pipe.out,39
184.819829315,mom,2,cashier,pipe.in,50
221.256144325,mom,1,cashier,resource.serve,39
221.256144325,mom,2,cashier,pipe.out,50
254.736108725,mom,3,cashier,pipe.in,17
264.688144177,mom,4,cashier,pipe.in,26
385.844345447,mom,2,cashier,resource.serve,50
385.844345447,mom,3,cashier,pipe.out,17
440.480361404,mom,3,cashier,resource.serve,17
440.480361404,mom,4,cashier,pipe.out,26
477.278091226,mom,5,cashier,pipe.in,23
504.341904366,mom,4,cashier,resource.serve,26
504.341904366,mom,5,cashier,pipe.out,23
523.769979715,mom,6,cashier,pipe.in,18
556.648579069,mom,7,cashier,pipe.in,25
567.562277900,mom,8,cashier,pipe.in,41
606.954811567,mom,9,cashier,pipe.in,35
660.563541416,mom,5,cashier,resource.serve,23
660.563541416,mom,6,cashier,pipe.out,18
706.564013156,mom,6,cashier,resource.serve,18
706.564013156,mom,7,cashier,pipe.out,25
746.593836237,mom,10,cashier,pipe.in,14
747.155383264,mom,11,cashier,pipe.in,49
917.090782723,mom,7,cashier,resource.serve,25
917.090782723,mom,8,cashier,pipe.out,41
997.674205259,mom,8,cashier,resource.serve,41
997.674205259,mom,9,cashier,pipe.out,35
1094.237239136,mom,9,cashier,resource.serve,35
1094.237239136,mom,10,cashier,pipe.out,14
1135.497554920,mom,12,cashier,pipe.in,35
1155.321703927,mom,10,cashier,resource.serve,14
1155.321703927,mom,11,cashier,pipe.out,49
1203.773327065,mom,13,cashier,pipe.in,22
1230.947627207,mom,14,cashier,pipe.in,21
1288.298644241,mom,15,cashier,pipe.in,20
1297.292748821,mom,11,cashier,resource.serve,49
1297.292748821,mom,12,cashier,pipe.out,35
1352.824756211,mom,16,cashier,pipe.in,37
1367.643360603,mom,17,cashier,pipe.in,43
1409.579860824,mom,12,cashier,resource.serve,35
1409.579860824,mom,13,cashier,pipe.out,22
1481.165000235,mom,13,cashier,resource.serve,22
1481.165000235,mom,14,cashier,pipe.out,21
1531.515701299,mom,14,cashier,resource.serve,21
1531.515701299,mom,15,cashier,pipe.out,20
1560.952553042,mom,15,cashier,resource.serve,20
1560.952553042,mom,16,cashier,pipe.out,37
1632.478939040,mom,18,cashier,pipe.in,16
1684.341371340,mom,19,cashier,pipe.in,25
1690.789890052,mom,20,cashier,pipe.in,29
1708.948405492,mom,16,cashier,resource.serve,37
1708.948405492,mom,17,cashier,pipe.out,43
1804.006200358,mom,17,cashier,resource.serve,43
1804.006200358,mom,18,cashier,pipe.out,16
1804.734499582,mom,21,cashier,pipe.in,15
1821.307862556,mom,22,cashier,pipe.in,33
1859.770810879,mom,23,cashier,pipe.in,27
1865.184076185,mom,18,cashier,resource.serve,16
1865.184076185,mom,19,cashier,pipe.out,25
1881.741695100,mom,24,cashier,pipe.in,27
1943.361829976,mom,19,cashier,resource.serve,25
1943.361829976,mom,20,cashier,pipe.out,29
1959.110269015,mom,25,cashier,pipe.in,13
1968.983435168,mom,26,cashier,pipe.in,15
2041.302187370,mom,20,cashier,resource.serve,29
2041.302187370,mom,21,cashier,pipe.out,15
2097.503696012,mom,21,cashier,resource.serve,15
2097.503696012,mom,22,cashier,pipe.out,33
2196.998303435,mom,22,cashier,resource.serve,33
2196.998303435,mom,23,cashier,pipe.out,27
2264.306918367,mom,23,cashier,resource.serve,27
2264.306918367,mom,24,cashier,pipe.out,27
2275.129947122,mom,27,cashier,pipe.in,38
2334.268055485,mom,24,cashier,resource.serve,27
2334.268055485,mom,25,cashier,pipe.out,13
2402.770568286,mom,28,cashier,pipe.in,47
2408.485728182,mom,25,cashier,resource.serve,13
2408.485728182,mom,26,cashier,pipe.out,15
2465.204046373,mom,26,cashier,resource.serve,15
2465.204046373,mom,27,cashier,pipe.out,38
2568.345896853,mom,27,cashier,resource.serve,38
2568.345896853,mom,28,cashier,pipe.out,47
2694.757919705,mom,28,cashier,resource.serve,47
2811.644676457,mom,29,cashier,pipe.in,13
2811.644676457,mom,29,cashier,pipe.out,13
2842.245771344,mom,29,cashier,resource.serve,13
2956.534131679,mom,30,cashier,pipe.in,50
