timestamp,message,seq_num,resource,event
0.000000000,gen0,0,res0,pipe.in
0.000000000,gen1,0,res0,pipe.in
0.000000000,gen0,0,res0,pipe.out
1.519730343,gen1,1,res0,pipe.in
16.674901483,gen1,2,res0,pipe.in
28.946165767,gen0,0,res0,resource.serve
28.946165767,gen1,0,res0,pipe.out
61.203617236,gen0,1,res0,pipe.in
61.203617236,gen1,0,res0,pipe.in
61.203617236,gen1,0,res0,resource.preempted
61.203617236,gen0,1,res0,pipe.out
69.389333651,gen0,1,res0,resource.serve
69.389333651,gen1,0,res0,pipe.out
96.690461851,gen1,3,res0,pipe.in
98.505472484,gen1,4,res0,pipe.in
113.308474241,gen1,5,res0,pipe.in
118.713487997,gen1,0,res0,resource.serve
118.713487997,gen1,1,res0,pipe.out
121.133984328,gen1,1,res0,resource.serve
121.133984328,gen1,2,res0,pipe.out
141.086234553,gen1,2,res0,resource.serve
141.086234553,gen1,3,res0,pipe.out
155.543405913,gen1,6,res0,pipe.in
194.840903210,gen0,2,res0,pipe.in
194.840903210,gen1,3,res0,pipe.in
194.840903210,gen1,3,res0,resource.preempted
194.840903210,gen0,2,res0,pipe.out
202.783161168,gen1,7,res0,pipe.in
209.782488348,gen0,3,res0,pipe.in
210.173686461,gen0,4,res0,pipe.in
274.923686777,gen0,2,res0,resource.serve
274.923686777,gen0,3,res0,pipe.out
